Kennewick	Kennewick	USA	Antigas	Antigas	-0.0490561	-0.0545546	0.017457	-0.085043	0.0162164	0.0986971	-0.0260581	-0.0861518	0.00658306	0.00986143	-0.0196686	0.0463517	0.0436046	-0.0467922	0.000401397	-0.126854	0.0247093	-0.0810949	-0.0256061	-0.0216315
Saqqaq	Saqqaq	Greenland	Antigas	Antigas	-0.0353474	-0.0491292	0.0096196	-0.0302434	0.0159455	0.0361429	-0.00648307	-0.0325392	0.0448954	0.129765	0.0424813	-0.0039135	-0.0112288	-0.0111791	-0.0379615	-0.042532	-0.000842822	0.0265867	-0.0144905	-0.0610831
CP18	CP18	Brazil	Antigas	Antigas	-0.00646019	0.0400746	0.0381433	-0.0215749	-0.0152652	-0.00979877	-0.00152073	0.0106452	-0.0268896	0.00289655	-0.0021008	-0.00418023	-0.0112112	0.00950914	0.0486116	0.0187112	-0.00151155	-0.0154354	0.0275805	-0.00283251
CP19	CP19	Brazil	Antigas	Antigas	-0.00641193	0.0364565	0.0355528	-0.0218476	-0.0124459	-0.0387798	0.00650507	0.0351688	-0.0353107	-0.0142717	0.00398235	0.00914631	0.00385039	0.0229963	0.023287	-0.0499787	-0.00535992	-0.0607393	0.0765422	-0.0128899
CP21	CP21	Brazil	Antigas	Antigas	-0.0151376	0.0182847	0.0336604	-0.0379273	0.000749431	-0.006703	-0.0114661	-0.0285276	-0.0300677	0.0639293	0.0297312	-0.0103151	-0.0355568	-0.000757838	0.0163534	0.027197	-0.0257613	-0.0425784	-0.0106879	-0.00544087
CP22	CP22	Brazil	Antigas	Antigas	-0.0110444	0.0266054	0.0355259	-0.0306428	0.000869148	-0.0144418	-0.00190532	0.0113262	-0.0314182	0.0522101	0.0451036	-0.0321414	-0.0374384	0.00943907	-0.00648879	-0.00103423	-0.0311679	0.00578446	0.00710108	0.00100753
CP23	CP23	Brazil	Antigas	Antigas	-0.00479162	0.0438734	0.0393512	-0.0211554	-0.017569	0.0323489	0.020096	0.0471796	-0.223995	0.0654833	-0.0664608	0.456474	-0.0743493	0.121614	-0.0358308	0.0890077	-0.00933687	-0.061518	-0.0604581	-0.0458433
CP25	CP25	Brazil	Antigas	Antigas	-0.0117947	0.0208051	0.0317872	-0.0329139	-0.00207113	-0.0158206	0.000252543	0.0141278	-0.0290795	-0.00600066	0.00565683	-0.00342596	-0.0279422	0.0151997	0.0125513	0.0135568	0.0148328	-0.0032704	0.00379418	0.000383123
CP26	CP26	Brazil	Antigas	Antigas	0.00923656	0.0727879	0.0425534	0.00885871	-0.0200115	-0.0465317	0.0171458	0.057599	-0.0607276	-0.0441074	0.000459907	-0.0254668	-0.011336	-0.0373267	0.00738537	-0.0329287	-0.0194286	-0.0163987	0.0612562	0.00357871
CP29	CP29	Peru	Antigas	Antigas	-0.0186431	0.00671041	0.0310403	-0.0456513	0.00542389	-0.0128953	-0.0127044	-0.012804	-0.00891636	0.0626189	0.0441724	-0.037776	-0.0442031	0.0204558	-0.00182795	0.0429728	-0.00683716	-0.00542104	-0.0110393	-0.0209364
CP8	CP8	Peru	Antigas	Antigas	-0.021575	0.0028173	0.029257	-0.0518572	-0.000297145	-0.00878201	-0.0125198	-0.0168162	0.00330973	0.0169639	0.0153947	-0.0135018	0.00641412	-0.00791842	0.0519423	0.0165925	-0.0199674	-0.0206459	-0.0240554	-0.0555001
CUN008	CUN008	Peru	Antigas	Antigas	-0.0199273	0.00769281	0.0297545	-0.0469615	0.00649872	0.0663942	-0.00877821	-0.0156088	-0.0405708	0.0590069	0.00822901	-0.0340152	-0.0673223	0.0144164	0.00187153	0.0464877	0.0140419	-0.0400317	-0.00456167	0.00357533
I0038	I0038	Peru	Antigas	Antigas	-0.0201814	0.00250373	0.0279694	-0.0493158	-0.000532099	0.00368124	-0.0101673	0.00208786	-0.00154615	-0.000719395	0.00178228	-0.0161319	-0.0227998	0.00307848	-0.00335443	-0.0152733	0.0143098	-0.026816	-0.022887	-0.0145797
I0039	I0039	Peru	Antigas	Antigas	-0.00845412	0.0338334	0.0384729	-0.0285915	-0.0141572	-0.0291318	-0.00612976	0.0118113	0.00970794	0.0160013	0.00718135	-0.034371	-0.0344498	-0.00203587	0.0351119	0.00669224	0.00921351	-0.0260241	-0.045142	-0.0110801
I0040	I0040	Peru	Antigas	Antigas	-0.00960906	0.0333724	0.036836	-0.0305958	-0.0141978	-0.0298603	-0.00555413	0.0143324	0.0107689	-0.00139158	-0.00757069	-0.0223463	-0.0133137	0.00541184	0.0341058	0.00232678	0.00325174	-0.0175968	-0.0717587	-0.0317759
I0041	I0041	Peru	Antigas	Antigas	-0.00713258	0.0361511	0.0370942	-0.023139	-0.0135175	-0.0326704	0.000136047	0.0214412	-0.00435975	-0.0143902	-0.00674103	-0.0243787	-0.028047	-0.000763577	0.029375	0.0224394	-0.00227532	-0.0149493	-0.0374674	-0.0172584
I0237	I0237	Peru	Antigas	Antigas	-0.00629943	0.0389957	0.0358303	-0.019955	-0.0136764	-0.0331648	0.00289774	0.0203978	-0.0257633	-0.0146917	0.00117458	-0.0295156	-0.0402513	0.0118739	0.0181484	0.0137424	0.0176309	-0.0185764	-0.00997929	-0.0031175
I0238	I0238	Peru	Antigas	Antigas	0.00806022	0.0685574	0.0440409	-0.00255095	-0.0287887	-0.0209431	-0.00324477	0.0226677	0.0419888	-0.00228372	0.0173704	-0.000461843	-0.00195416	-0.0126058	0.0419208	-0.0203111	-0.0124617	0.0245649	-0.0744412	-0.0543441
I0308	I0308	Argentina	Antigas	Antigas	-0.00306203	0.0466366	0.0399893	-0.0152128	-0.0176216	-0.0363039	0.00244227	0.0233505	-0.00525778	0.00749116	0.00311424	-0.0117909	-0.0301043	0.00905715	0.00593242	-0.0189895	0.0109243	-0.0495197	0.0100441	-0.0223601
I0309	I0309	Argentina	Antigas	Antigas	-0.00680777	0.0365079	0.0353183	-0.0205194	-0.0111233	-0.0332909	0.00365635	0.0211667	-0.0222039	-0.00188767	0.00430614	-0.0275157	-0.0358388	0.0252756	0.000701642	0.0126232	0.0154027	-0.0128117	-0.00641799	-0.0193265
I11974	I11974	Chile	Antigas	Antigas	-0.0154698	0.0166628	0.0328474	-0.0426439	-0.00432735	-0.0144473	-0.00686698	0.0088812	0.00403791	0.00950671	0.0121802	0.00593716	0.00446487	-0.00317552	0.0317179	0.0170919	-0.00391971	0.015754	0.0160039	0.000141303
I1357	I1357	Peru	Antigas	Antigas	-0.0117445	0.0270936	0.0346464	-0.0336521	-0.00993145	-0.0309131	-0.00268623	0.0117672	-0.00563878	0.00497145	0.00672579	-0.0374722	-0.0349904	0.0062175	0.04218	0.0189358	-0.0175238	-0.00422749	-0.0359226	-0.00404691
I1484	I1484	Peru	Antigas	Antigas	-0.0150832	0.0174087	0.0306674	-0.0371902	-0.00433348	-0.0164691	0.000697583	0.0182118	-0.0213587	0.00103271	0.00907122	-0.0231271	-0.0253096	0.0103786	0.0196323	-0.00654108	0.0092481	-0.00613868	-0.0367454	-0.0187244
I1485	I1485	Peru	Antigas	Antigas	-0.0133631	0.0238897	0.0335666	-0.033939	-0.0080738	0.0114179	0.00229157	0.0256167	-0.0295664	-0.0208034	0.00899745	-0.0286803	-0.0248288	0.000241491	0.00166918	-6.52E-05	-0.0452561	0.0069485	-0.00254594	-0.00768138
I1742	I1742	Peru	Antigas	Antigas	-0.0044783	0.0485097	0.0431037	-0.0222032	-0.0202889	0.0333491	-0.00618189	0.00749859	-0.0117816	-0.0175038	-0.0308347	-0.0350184	-0.0294612	-0.000526452	0.0395306	0.019303	-0.0121359	0.00190663	-0.0370062	-0.0289144
